route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000064,OCESN13179F763888:2022-03-09T20:30:55Z,13179,1,,
OCESN-1998130,000038,OCESN13191F714137:2022-03-08T20:46:18Z,13191,1,,
OCESN-1998130,000034,OCESN13192F540612:2022-03-08T20:46:18Z,13192,0,,
OCESN-1998130,000037,OCESN13192F711855:2022-03-01T20:49:34Z,13192,0,,
OCESN-1998130,000002,OCESN13195F713142:2022-03-08T20:46:18Z,13195,1,,
OCESN-1998130,000034,OCESN13196F540678:2022-03-08T20:46:18Z,13196,0,,
OCESN-1998130,000037,OCESN13196F708307:2022-03-01T20:49:34Z,13196,0,,
OCESN-1209988,000096,OCESN14030F520063:2022-02-14T09:22:38Z,14030,0,,
OCESN-1209988,000097,OCESN14030F571268:2022-03-06T20:33:18Z,14030,0,,
OCESN-1209988,000098,OCESN14030F647521:2022-03-01T20:49:34Z,14030,0,,
OCESN-1209988,000099,OCESN14030F714195:2022-03-09T20:30:55Z,14030,0,,
OCESN-1209988,000100,OCESN14030F714726:2022-03-08T20:46:18Z,14030,0,,
OCESN-1209988,000101,OCESN14030F797596:2022-03-10T20:29:31Z,14030,0,,
OCESN-1209988,000102,OCESN14031F519703:2022-03-01T20:49:34Z,14031,1,,
OCESN-1209988,000103,OCESN14031F599595:2022-02-14T09:22:38Z,14031,1,,
OCESN-1209988,000104,OCESN14031F723390:2022-03-08T20:46:18Z,14031,1,,
OCESN-1209988,000101,OCESN14032F598859:2022-03-10T20:29:31Z,14032,0,,
OCESN-1209988,000105,OCESN14032F706018:2022-03-08T20:46:18Z,14032,0,,
OCESN-1209988,000106,OCESN14033F568911:2022-03-01T20:49:34Z,14033,1,,
OCESN-1209988,000107,OCESN14033F568912:2022-03-01T20:49:34Z,14033,1,,
OCESN-1209988,000108,OCESN14033F616188:2022-02-14T09:22:38Z,14033,1,,
OCESN-1209988,000109,OCESN14033F616492:2022-02-14T09:22:38Z,14033,1,,
OCESN-1209988,000110,OCESN14033F707263:2022-03-01T20:49:34Z,14033,1,,
OCESN-1209988,000111,OCESN14033F711412:2022-03-07T20:46:24Z,14033,1,,
